col,RMSE_1,RMSE_2,RMSE_SUM
sum_word,0.0272631094723084,0.0288057245021808,0.0560688339744892
Volume_OSC,0.071085957346359,0.0594878270541879,0.1305737844005469
MA5_gra,0.0706213552032413,0.0599937185492504,0.1306150737524917
Sigma,0.0723524699455423,0.0599527084655747,0.132305178411117
Disparity20,0.0713897281748195,0.0612739051483394,0.1326636333231589
Psy,0.0716341497683569,0.0619324060546931,0.13356655582305
RSI14,0.0721180769183953,0.0618524928923411,0.1339705698107364
CCI,0.0731321270844042,0.0610433477626875,0.1341754748470917
MA20_gra,0.0742065206290159,0.0635689613113833,0.1377754819403992
VR,0.0762439533478281,0.0633386434087842,0.1395825967566123
MFI,0.07558564338824,0.0642455798103213,0.13983122319856128
RSI signal,0.0754209761229145,0.0651304748150421,0.1405514509379566
Momentum,0.0748880630119008,0.0663694286641602,0.141257491676061
TRIX,0.0765865969202919,0.0654439661473357,0.14203056306762762
Disparity60,0.0774375802738968,0.0669642697487539,0.1444018500226507
MACD_OSC,0.0794281340618153,0.0658037467621188,0.1452318808239341
Slow%K,0.0788589601396215,0.0665368870810314,0.1453958472206529
A_Ratio,0.0801362751124033,0.0664806510160258,0.14661692612842908
ADX,0.0795851249700155,0.0676876959007559,0.14727282087077143
MA60_gra,0.0804065245011362,0.0680100130747295,0.1484165375758657
Fast%D,0.0836823432938269,0.0664124626170691,0.150094805910896
WILLR,0.081997276832449,0.0685456123214015,0.1505428891538505
Fast%K,0.0807677094937205,0.0698270196953098,0.1505947291890303
Sonar_sig5,0.0757332515855565,0.0767777021618543,0.1525109537474108
MA120,0.0842006720256221,0.0683326634943849,0.152533335520007
MA120_gra,0.0830893732928917,0.0696320022119426,0.1527213755048343
V_MA5,0.0826891166643584,0.0712554996338044,0.1539446162981628
MA5,0.0842814762742212,0.0701610470514478,0.154442523325669
Slow%D,0.0852900084516203,0.0694704094996161,0.1547604179512364
MA60,0.0822151625833633,0.072748984099944,0.1549641466833073
V_MA120,0.0848179139533091,0.0701709189457087,0.1549888328990178
Sonar,0.0885054067620956,0.0672033691794281,0.1557087759415237
V_MA20,0.0882285192710577,0.0693900676100191,0.1576185868810768
V_MA60,0.0868321069866977,0.0719047570307756,0.1587368640174733
ADOSC,0.0864411356589587,0.0723138371299043,0.158754972788863
EMA20,0.0841802431074955,0.0757421820504322,0.1599224251579277
MACD_sig9,0.0859342000067613,0.0742879375663838,0.1602221375731451
EMA60,0.0876436711234408,0.0731335247146928,0.1607771958381336
middleband,0.0914710736072441,0.0698584759312442,0.1613295495384883
upperband,0.0874670231573053,0.0739731615384368,0.16144018469574212
MA20,0.0893626392593398,0.0762810169710243,0.1656436562303641
ATR,0.0882489028045553,0.0774981443602151,0.1657470471647704
lowerband,0.0923452988686703,0.0783765646724708,0.1707218635411411
EMA5,0.0876014960605223,0.084769095402534,0.17237059146305628
MACD,0.0937916444631968,0.081358020300857,0.1751496647640538
STDEV,0.1066984613661583,0.0762051943507208,0.1829036557168791
EMA120,0.0885016816209792,0.0957252759016543,0.18422695752263352
UpDI,0.1076026132964797,0.1030239809762035,0.2106265942726832
DownDI,0.095276269905808,0.141084489888154,0.23636075979396198
B_Ratio,0.6068527646612395,2.668964250527396,3.2758170151886357
