col1,col2,RMSE
Momentum,CCI,0.0578074566632437
RSI signal,Disparity20,0.0583191456936717
MA5_gra,Volume_OSC,0.058417667616435
MA5_gra,Disparity20,0.0586033137781563
Sigma,Volume_OSC,0.0586069350507636
MFI,Volume_OSC,0.0586167528776203
RSI signal,Volume_OSC,0.0586916463342411
MACD_OSC,Disparity20,0.0588303893598314
Psy,Volume_OSC,0.0588351680394795
MACD_OSC,CCI,0.0590365092611464
Disparity60,Volume_OSC,0.0590740032889572
Psy,MA5_gra,0.059118553175716
TRIX,Disparity20,0.0592797690497133
Volume_OSC,CCI,0.0592836769403536
Volume_OSC,Disparity20,0.0593298177030567
RSI14,Volume_OSC,0.0593853663034771
MA20_gra,Volume_OSC,0.0595246691239041
Sigma,Disparity60,0.059639931083467
TRIX,Volume_OSC,0.0597168924762899
TRIX,MA5_gra,0.059939314472297
RSI14,Disparity20,0.0599640590712553
Momentum,Volume_OSC,0.0599792487456085
Sigma,RSI14,0.0599825754016182
Sigma,MA20_gra,0.0600329359809215
MFI,Disparity20,0.0600623908819692
Sigma,MFI,0.0600995955031916
MA5_gra,CCI,0.0601311706462798
Fast%D,Disparity20,0.0602031108785395
MACD_OSC,Volume_OSC,0.0602054042142156
MACD_OSC,RSI14,0.0602229610005363
VR,MA5_gra,0.0602407310431229
Sigma,Disparity20,0.06026001432487
Disparity60,Disparity20,0.06036110805588
Fast%D,MA5_gra,0.0603960855224918
MACD_OSC,Fast%D,0.060425802665715
VR,Disparity20,0.0605044427743614
VR,Volume_OSC,0.0605354682883305
RSI14,RSI signal,0.0606326468581817
Fast%D,Volume_OSC,0.0607035900648018
MFI,MA5_gra,0.0608658100669302
Sigma,TRIX,0.0609034643429181
Sigma,Psy,0.0609127916164588
Sigma,Fast%D,0.0609673848598123
RSI signal,MA5_gra,0.0610701250992322
MFI,CCI,0.0610761924122209
MFI,RSI14,0.0610774675578092
Sigma,VR,0.0611106786786358
RSI14,MA5_gra,0.0611258195801895
Sigma,RSI signal,0.0612121666472643
Disparity60,RSI14,0.0612314253828161
RSI signal,CCI,0.0613138113052965
RSI14,CCI,0.0613838800361986
Disparity20,CCI,0.0614037427954575
Disparity60,MA5_gra,0.0614633550636374
TRIX,RSI14,0.0615223570380628
Psy,Disparity60,0.0616843129761635
Fast%D,CCI,0.0617275975621816
MA20_gra,MA5_gra,0.0617648979781615
Psy,TRIX,0.0617891696087831
MA20_gra,Disparity20,0.0618076797400412
Sigma,MA5_gra,0.0618151549352759
RSI14,MA20_gra,0.0618846974094828
Sigma,Momentum,0.0619454499086926
Momentum,Disparity20,0.0619717980093066
Psy,MA20_gra,0.0620396881405833
Disparity60,CCI,0.062138909464299
MFI,MA20_gra,0.0622967137193996
Psy,MFI,0.0623504499758699
VR,RSI14,0.0623740364845504
Disparity60,MA20_gra,0.0624111202945328
TRIX,MA20_gra,0.0624395484188547
Sonar_sig5,Disparity20,0.0624696836855003
Psy,CCI,0.0626252528640454
RSI14,Fast%D,0.0627703964277752
TRIX,Momentum,0.0628244390872202
Psy,VR,0.0629135139052507
TRIX,CCI,0.0630143133973298
Psy,RSI signal,0.0630602499389841
RSI signal,Sonar_sig5,0.0630796162122151
Psy,RSI14,0.0631012900836482
MA20_gra,CCI,0.0632299695220599
Disparity60,RSI signal,0.0632660382437028
Disparity60,MACD_OSC,0.0633118473068289
VR,CCI,0.0633418303903607
MFI,RSI signal,0.0633437307401984
Sigma,CCI,0.0633784452812465
MFI,Disparity60,0.0634899492086352
MFI,MACD_OSC,0.0635886486512232
VR,RSI signal,0.0637686574563511
MFI,Fast%D,0.0637720821682414
MFI,VR,0.0637902541612836
MA20_gra,RSI signal,0.0638379921225933
Psy,Fast%D,0.0638829828556061
VR,MA20_gra,0.0640599911768382
Psy,Disparity20,0.0642340832234805
Disparity60,Momentum,0.0645472568871423
MACD_OSC,MA5_gra,0.0645541064723178
Momentum,MA5_gra,0.0645834839951132
TRIX,Disparity60,0.0646371742302109
MA20_gra,Fast%D,0.0648269900240766
TRIX,MFI,0.064906932170398
MA20_gra,Sonar_sig5,0.0649580396417614
RSI signal,Fast%D,0.0651402155096277
MACD_OSC,Sonar_sig5,0.0653905003898554
TRIX,VR,0.06557391767114
TRIX,Fast%D,0.0655769889195514
TRIX,RSI signal,0.0657564515603758
Sonar_sig5,MA5_gra,0.0661478590310915
Disparity60,VR,0.0663456219307097
Psy,Sonar_sig5,0.0665801275277116
VR,Fast%D,0.0667280924954056
Sonar_sig5,Volume_OSC,0.0676748161467287
Psy,Momentum,0.0676835474014233
TRIX,MACD_OSC,0.0679278410923308
MACD_OSC,RSI signal,0.0680847133771552
Momentum,Sonar_sig5,0.0681485057228286
VR,Momentum,0.0681809037015829
MACD_OSC,MA20_gra,0.0682962296256208
Disparity60,Fast%D,0.0685190617679165
RSI14,Sonar_sig5,0.0690011450849155
VR,Sonar_sig5,0.0694368729172485
MFI,Momentum,0.0694754231748908
MACD_OSC,Momentum,0.0696420761429657
VR,MACD_OSC,0.0699179993253279
Disparity60,Sonar_sig5,0.0701065059325188
Momentum,Fast%D,0.0701129485684611
Sigma,MACD_OSC,0.0701433903180264
TRIX,Sonar_sig5,0.0705056914013123
Sigma,Sonar_sig5,0.0708695242383713
Sonar_sig5,CCI,0.0709331984203024
Sonar_sig5,Fast%D,0.0710723961473013
RSI14,Momentum,0.0723846557133404
MA20_gra,Momentum,0.0731552752764334
Psy,MACD_OSC,0.0754982863947787
Momentum,RSI signal,0.0769119894630816
MFI,Sonar_sig5,0.078683824460348
