,0,1,2
0,MA5,MA20,MA60
1,MA5,MA20,MA120
2,MA5,MA20,MA5_gra
3,MA5,MA20,MA20_gra
4,MA5,MA20,MA60_gra
5,MA5,MA20,MA120_gra
6,MA5,MA20,V_MA5
7,MA5,MA20,V_MA20
8,MA5,MA20,V_MA60
9,MA5,MA20,V_MA120
10,MA5,MA20,EMA5
11,MA5,MA20,EMA20
12,MA5,MA20,EMA60
13,MA5,MA20,EMA120
14,MA5,MA20,MACD
15,MA5,MA20,MACD_sig9
16,MA5,MA20,MACD_OSC
17,MA5,MA20,Fast%K
18,MA5,MA20,Fast%D
19,MA5,MA20,Slow%K
20,MA5,MA20,Slow%D
21,MA5,MA20,RSI14
22,MA5,MA20,RSI signal
23,MA5,MA20,CCI
24,MA5,MA20,A_Ratio
25,MA5,MA20,B_Ratio
26,MA5,MA20,ATR
27,MA5,MA20,UpDI
28,MA5,MA20,DownDI
29,MA5,MA20,MFI
30,MA5,MA20,Momentum
31,MA5,MA20,Sonar
32,MA5,MA20,Sonar_sig5
33,MA5,MA20,STDEV
34,MA5,MA20,Sigma
35,MA5,MA20,TRIX
36,MA5,MA20,VR
37,MA5,MA20,WILLR
38,MA5,MA20,Psy
39,MA5,MA20,Disparity20
40,MA5,MA20,Disparity60
41,MA5,MA20,ADX
42,MA5,MA20,ADOSC
43,MA5,MA20,Volume_OSC
44,MA5,MA20,upperband
45,MA5,MA20,middleband
46,MA5,MA20,lowerband
47,MA5,MA60,MA120
48,MA5,MA60,MA5_gra
49,MA5,MA60,MA20_gra
50,MA5,MA60,MA60_gra
51,MA5,MA60,MA120_gra
52,MA5,MA60,V_MA5
53,MA5,MA60,V_MA20
54,MA5,MA60,V_MA60
55,MA5,MA60,V_MA120
56,MA5,MA60,EMA5
57,MA5,MA60,EMA20
58,MA5,MA60,EMA60
59,MA5,MA60,EMA120
60,MA5,MA60,MACD
61,MA5,MA60,MACD_sig9
62,MA5,MA60,MACD_OSC
63,MA5,MA60,Fast%K
64,MA5,MA60,Fast%D
65,MA5,MA60,Slow%K
66,MA5,MA60,Slow%D
67,MA5,MA60,RSI14
68,MA5,MA60,RSI signal
69,MA5,MA60,CCI
70,MA5,MA60,A_Ratio
71,MA5,MA60,B_Ratio
72,MA5,MA60,ATR
