class,return,rb_count,resid_diff,out_multiple,rebalance_weight
att,411.8416406733506,45,15,0.5,0.4
neu,336.0943987485903,28,15,0.5,0.4
deff,352.6468614070922,18,15,0.5,0.4
att,418.3412795242309,45,15,0.5,0.5
neu,345.2068020625115,28,15,0.5,0.5
deff,367.4197953431124,18,15,0.5,0.5
att,422.4225493725773,45,15,0.5,0.6
neu,354.35872092819386,28,15,0.5,0.6
deff,381.8240001455306,18,15,0.5,0.6
att,425.0990652900693,45,15,0.5,0.7
neu,363.9957960608481,28,15,0.5,0.7
deff,395.8362807086966,18,15,0.5,0.7
att,442.3503338396065,36,15,0.6,0.4
neu,335.0628693336476,20,15,0.6,0.4
deff,336.44683713436154,8,15,0.6,0.4
att,456.05738009214167,36,15,0.6,0.5
neu,346.7705519583701,20,15,0.6,0.5
deff,348.0805097745887,8,15,0.6,0.5
att,467.1597881701475,36,15,0.6,0.6
neu,358.9087055558193,20,15,0.6,0.6
deff,359.9732897085182,8,15,0.6,0.6
att,476.57433985853385,36,15,0.6,0.7
neu,371.6325204038597,20,15,0.6,0.7
deff,372.1275937466625,8,15,0.6,0.7
att,488.5191837136267,40,20,0.5,0.4
neu,331.1965293462748,27,20,0.5,0.4
deff,323.46983696060136,16,20,0.5,0.4
att,507.9117940600395,40,20,0.5,0.5
neu,335.7432594916336,27,20,0.5,0.5
deff,330.65417279339164,16,20,0.5,0.5
att,522.4267773083684,40,20,0.5,0.6
neu,338.1768974075328,27,20,0.5,0.6
deff,336.9955507052414,16,20,0.5,0.6
att,533.1171680050854,40,20,0.5,0.7
neu,338.72926248283227,27,20,0.5,0.7
deff,342.60616458969076,16,20,0.5,0.7
att,422.8363389178296,34,20,0.6,0.4
neu,336.9314608228682,17,20,0.6,0.4
deff,303.9579752977382,9,20,0.6,0.4
att,433.40264059372197,34,20,0.6,0.5
neu,343.5677000962248,17,20,0.6,0.5
deff,305.8071265097633,9,20,0.6,0.5
att,439.7328452363961,34,20,0.6,0.6
neu,348.2166244310384,17,20,0.6,0.6
deff,306.8262057373049,9,20,0.6,0.6
att,441.81284424753204,34,20,0.6,0.7
neu,350.949210384463,17,20,0.6,0.7
deff,307.02440955591254,9,20,0.6,0.7
