,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume
,^FCHI,^GDAXI,^GSPC,^HSI,^IXIC,^KS11,^N225,^FCHI,^GDAXI,^GSPC,^HSI,^IXIC,^KS11,^N225,^FCHI,^GDAXI,^GSPC,^HSI,^IXIC,^KS11,^N225,^FCHI,^GDAXI,^GSPC,^HSI,^IXIC,^KS11,^N225,^FCHI,^GDAXI,^GSPC,^HSI,^IXIC,^KS11,^N225,^FCHI,^GDAXI,^GSPC,^HSI,^IXIC,^KS11,^N225
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-07-28,3164.929931640625,3417.77001953125,996.52001953125,10134.8798828125,1735.3599853515625,,,3164.929931640625,3417.77001953125,996.52001953125,10134.8798828125,1735.3599853515625,,,3180.89990234375,3425.449951171875,1000.6799926757812,10164.7900390625,1740.5899658203125,,,3138.510009765625,3360.669921875,993.5900268554688,10031.240234375,1726.239990234375,,,3142.300048828125,3360.669921875,998.6799926757812,10031.240234375,1734.6800537109375,,,0.0,70777700.0,1328600000.0,242282600.0,1535820000.0,,
2003-07-29,3142.389892578125,3428.1201171875,989.280029296875,10198.599609375,1731.3699951171875,722.3300170898438,9834.3095703125,3142.389892578125,3428.1201171875,989.280029296875,10198.599609375,1731.3699951171875,722.3300170898438,9834.3095703125,3188.699951171875,3452.179931640625,998.6400146484375,10222.830078125,1744.5999755859375,722.469970703125,9932.1796875,3128.639892578125,3373.6298828125,984.1500244140625,10125.8095703125,1713.2099609375,715.010009765625,9822.7197265625,3155.530029296875,3417.510009765625,996.52001953125,10133.7197265625,1740.27001953125,718.4199829101562,9895.7099609375,0.0,87003800.0,1508900000.0,282397000.0,1703800000.0,566900.0,76400000.0
2003-07-30,3172.510009765625,3429.030029296875,987.489990234375,10121.2197265625,1720.9100341796875,714.1500244140625,9632.66015625,3172.510009765625,3429.030029296875,987.489990234375,10121.2197265625,1720.9100341796875,714.1500244140625,9632.66015625,3183.030029296875,3449.2099609375,992.6199951171875,10206.4404296875,1733.4000244140625,724.22998046875,9821.2802734375,3131.85009765625,3395.739990234375,985.9600219726562,10055.509765625,1717.0699462890625,714.0700073242188,9632.66015625,3132.719970703125,3418.489990234375,989.280029296875,10180.8701171875,1731.5699462890625,721.6599731445312,9811.599609375,0.0,84533400.0,1391900000.0,287519200.0,1513760000.0,502200.0,79300000.0
2003-07-31,3210.27001953125,3487.860107421875,990.3099975585938,10134.830078125,1735.02001953125,713.52001953125,9563.2099609375,3210.27001953125,3487.860107421875,990.3099975585938,10134.830078125,1735.02001953125,713.52001953125,9563.2099609375,3220.550048828125,3487.860107421875,1004.5900268554688,10171.2802734375,1757.3699951171875,718.489990234375,9646.2099609375,3155.469970703125,3399.860107421875,987.489990234375,10065.3095703125,1728.3399658203125,710.010009765625,9507.3896484375,3189.280029296875,3432.75,987.489990234375,10103.16015625,1735.469970703125,716.5,9616.330078125,0.0,127620300.0,1608000000.0,287648800.0,1858470000.0,388900.0,73400000.0
2003-08-01,3169.6298828125,3438.889892578125,980.1500244140625,10248.599609375,1715.6199951171875,727.260009765625,9611.669921875,3169.6298828125,3438.889892578125,980.1500244140625,10248.599609375,1715.6199951171875,727.260009765625,9611.669921875,3219.14990234375,3481.81005859375,990.3099975585938,10292.76953125,1733.1400146484375,728.3800048828125,9652.1904296875,3158.60009765625,3403.030029296875,978.8599853515625,10183.3701171875,1714.010009765625,718.25,9520.1396484375,3200.81005859375,3481.81005859375,990.3099975585938,10184.4296875,1731.6300048828125,718.8400268554688,9646.66015625,0.0,94124400.0,1390600000.0,313456600.0,1484040000.0,457000.0,80600000.0
2003-08-04,3142.0,3405.31005859375,982.8200073242188,10183.1396484375,1714.06005859375,718.5399780273438,9452.7900390625,3142.0,3405.31005859375,982.8200073242188,10183.1396484375,1714.06005859375,718.5399780273438,9452.7900390625,3206.179931640625,3464.60009765625,985.75,10291.0,1723.27001953125,724.1699829101562,9538.9404296875,3126.18994140625,3363.949951171875,966.7899780273438,10153.330078125,1687.77001953125,717.4600219726562,9452.7900390625,3164.010009765625,3433.719970703125,980.1500244140625,10208.1298828125,1714.8399658203125,719.5700073242188,9538.9404296875,0.0,82228400.0,1318700000.0,207461400.0,1573410000.0,439400.0,60900000.0
2003-08-05,3187.610107421875,3438.360107421875,965.4600219726562,10177.3798828125,1673.5,721.8400268554688,9382.580078125,3187.610107421875,3438.360107421875,965.4600219726562,10177.3798828125,1673.5,721.8400268554688,9382.580078125,3203.419921875,3454.760009765625,982.8200073242188,10285.6796875,1711.1099853515625,726.2999877929688,9459.16015625,3150.8798828125,3399.199951171875,964.969970703125,10174.599609375,1671.0400390625,720.6400146484375,9304.7099609375,3167.85009765625,3414.10009765625,982.8200073242188,10283.8701171875,1710.68994140625,723.1500244140625,9456.8203125,0.0,73738300.0,1351700000.0,177532800.0,1743380000.0,481000.0,78000000.0
2003-08-06,3126.14990234375,3375.659912109375,967.0800170898438,9987.5400390625,1652.6800537109375,707.8800048828125,9323.91015625,3126.14990234375,3375.659912109375,967.0800170898438,9987.5400390625,1652.6800537109375,707.8800048828125,9323.91015625,3158.5,3427.489990234375,975.739990234375,10084.419921875,1675.4599609375,713.3200073242188,9375.4296875,3119.6298828125,3318.159912109375,960.8400268554688,9966.7001953125,1648.4200439453125,705.8599853515625,9287.3896484375,3154.06005859375,3427.489990234375,965.4600219726562,10084.419921875,1664.260009765625,710.8699951171875,9296.650390625,0.0,106676600.0,1491000000.0,294305600.0,1862270000.0,464500.0,68200000.0
