class,return,rb_count,resid_diff,out_multiple,rebalance_weight
att,335.1623290336614,91,10,0.2,0.1
neu,264.98630495929694,89,10,0.2,0.1
deff,239.12153765153963,53,10,0.2,0.1
att,328.0604056109429,91,10,0.2,0.2
neu,248.54722465047712,89,10,0.2,0.2
deff,224.77606366109876,53,10,0.2,0.2
att,318.9477267189016,91,10,0.2,0.3
neu,234.19999985809312,89,10,0.2,0.3
deff,212.8030529997817,53,10,0.2,0.3
att,309.1709497627263,91,10,0.2,0.4
neu,221.70181696767892,89,10,0.2,0.4
deff,202.62798924255335,53,10,0.2,0.4
att,299.46521856184046,91,10,0.2,0.5
neu,210.82434643764466,89,10,0.2,0.5
deff,193.81225406188994,53,10,0.2,0.5
att,290.0420843609819,91,10,0.2,0.6
neu,201.37066229200335,89,10,0.2,0.6
deff,186.03620773935282,53,10,0.2,0.6
att,281.0306331652656,91,10,0.2,0.7
neu,193.22235755882176,89,10,0.2,0.7
deff,179.0628605726236,53,10,0.2,0.7
att,272.31508382272807,91,10,0.2,0.8
neu,186.28605327577586,89,10,0.2,0.8
deff,172.72395741786917,53,10,0.2,0.8
att,263.77978012218455,91,10,0.2,0.9
neu,180.44478859243407,89,10,0.2,0.9
deff,166.88780509767386,53,10,0.2,0.9
att,333.4246394974706,86,10,0.3,0.1
neu,249.7737246360787,107,10,0.3,0.1
deff,230.71524154453283,64,10,0.3,0.1
att,319.5246541926402,86,10,0.3,0.2
neu,226.03469926633858,107,10,0.3,0.2
deff,214.69262651243216,64,10,0.3,0.2
att,301.8074568047516,86,10,0.3,0.3
neu,209.42045273733183,107,10,0.3,0.3
deff,203.38370911159396,64,10,0.3,0.3
att,283.6959640338904,86,10,0.3,0.4
neu,197.616126815415,107,10,0.3,0.4
deff,194.8681417042728,64,10,0.3,0.4
att,266.8917258577346,86,10,0.3,0.5
neu,189.08756237268523,107,10,0.3,0.5
deff,188.03211526413054,64,10,0.3,0.5
att,252.04593879814206,86,10,0.3,0.6
