[[att, 411.841515, 0.4]
[neu, 336.094652, 0.4]
[deff, 352.646742, 0.4]
[att, 418.340956, 0.5]
[neu, 345.206758, 0.5]
[deff, 367.419647, 0.5]
[att, 422.422314, 0.6]
[neu, 354.358674, 0.6]
[deff, 381.823823, 0.6]
[att, 425.098822, 0.7]
[neu, 363.995783, 0.7]
[deff, 395.836164, 0.7]
[att, 442.349977, 0.4]
[neu, 335.062804, 0.4]
[deff, 336.446809, 0.4]
[att, 456.057303, 0.5]
[neu, 346.770481, 0.5]
[deff, 348.080478, 0.5]
[att, 467.159694, 0.6]
[neu, 358.908632, 0.6]
[deff, 359.973253, 0.6]
[att, 476.574289, 0.7]
[neu, 371.632446, 0.7]
[deff, 372.127552, 0.7]
[att, 488.519102, 0.4]
[neu, 331.196449, 0.4]
[deff, 323.469767, 0.4]
[att, 507.911654, 0.5]
[neu, 335.743112, 0.5]
[deff, 330.654085, 0.5]
[att, 522.426661, 0.6]
[neu, 338.176783, 0.6]
[deff, 336.995444, 0.6]
[att, 533.117060, 0.7]
[neu, 338.729131, 0.7]
[deff, 342.606039, 0.7]
[att, 422.836178, 0.4]
[neu, 336.931442, 0.4]
[deff, 303.957929, 0.4]
[att, 433.402452, 0.5]
[neu, 343.567677, 0.5]
[deff, 305.807071, 0.5]
[att, 439.732618, 0.6]
[neu, 348.216596, 0.6]
[deff, 306.826137, 0.6]
[att, 441.812611, 0.7]
[neu, 350.949176, 0.7]
[deff, 307.024333, 0.7]]
