class,return,rb_count,resid_diff,out_multiple,rebalance_weight
att,335.1623813664431,91,10,0.2,0.1
neu,264.98630554046684,89,10,0.2,0.1
deff,239.12154234580944,53,10,0.2,0.1
att,328.0610443282125,91,10,0.2,0.2
neu,248.54723495569223,89,10,0.2,0.2
deff,224.77606373233812,53,10,0.2,0.2
att,318.9477768139836,91,10,0.2,0.3
neu,234.1996859907158,89,10,0.2,0.3
deff,212.80304726123882,53,10,0.2,0.3
att,309.17092918491437,91,10,0.2,0.4
neu,221.70184480056787,89,10,0.2,0.4
deff,202.6279766608239,53,10,0.2,0.4
att,299.46593617515583,91,10,0.2,0.5
neu,210.82437814712577,89,10,0.2,0.5
deff,193.81223402633677,53,10,0.2,0.5
att,290.0419543398859,91,10,0.2,0.6
neu,201.37069482154953,89,10,0.2,0.6
deff,186.03617968893099,53,10,0.2,0.6
att,281.0304698519718,91,10,0.2,0.7
neu,193.22238837337545,89,10,0.2,0.7
deff,179.06282389001885,53,10,0.2,0.7
att,272.3148780157099,91,10,0.2,0.8
neu,186.28608042926857,89,10,0.2,0.8
deff,172.72391137638064,53,10,0.2,0.8
att,263.77964062538274,91,10,0.2,0.9
neu,180.4446498123175,89,10,0.2,0.9
deff,166.88789338140558,53,10,0.2,0.9
att,333.42454316206175,86,10,0.3,0.1
neu,249.77369944000245,107,10,0.3,0.1
deff,230.71523787584186,64,10,0.3,0.1
att,319.5246378968243,86,10,0.3,0.2
neu,226.0347082355498,107,10,0.3,0.2
deff,214.69286035242158,64,10,0.3,0.2
att,301.80930282316086,86,10,0.3,0.3
neu,209.42044398355475,107,10,0.3,0.3
deff,203.38370107622075,64,10,0.3,0.3
att,283.6957631794923,86,10,0.3,0.4
neu,197.61608653783864,107,10,0.3,0.4
deff,194.86813455600807,64,10,0.3,0.4
att,266.8914643137932,86,10,0.3,0.5
neu,189.08806249065512,107,10,0.3,0.5
deff,188.03210949926418,64,10,0.3,0.5
att,252.0457382963175,86,10,0.3,0.6
neu,182.82584663677233,107,10,0.3,0.6
deff,182.21266187953896,64,10,0.3,0.6
att,239.32093011007473,86,10,0.3,0.7
neu,178.09307915344291,107,10,0.3,0.7
deff,176.9976090267179,64,10,0.3,0.7
att,228.56928933363,86,10,0.3,0.8
neu,174.38778729591414,107,10,0.3,0.8
deff,172.2143999726289,64,10,0.3,0.8
att,219.4164913692486,86,10,0.3,0.9
neu,171.36170492992414,107,10,0.3,0.9
deff,167.74059681577722,64,10,0.3,0.9
att,321.6617663434049,67,10,0.4,0.1
neu,256.66029376926326,110,10,0.4,0.1
deff,233.90197384376654,65,10,0.4,0.1
att,309.6560942846294,67,10,0.4,0.2
neu,238.67832805032833,110,10,0.4,0.2
deff,221.22181487226453,65,10,0.4,0.2
att,300.67209663848877,67,10,0.4,0.3
neu,225.68305211982772,110,10,0.4,0.3
deff,211.85627142925324,65,10,0.4,0.3
att,293.769561919784,67,10,0.4,0.4
neu,215.55277824745136,110,10,0.4,0.4
deff,204.11618113098137,65,10,0.4,0.4
att,288.24953993110734,67,10,0.4,0.5
neu,207.0441885372165,110,10,0.4,0.5
deff,197.27561224784853,65,10,0.4,0.5
att,283.5641308350558,67,10,0.4,0.6
neu,199.44697078590357,110,10,0.4,0.6
deff,190.99180264873544,65,10,0.4,0.6
att,279.30483255167053,67,10,0.4,0.7
neu,192.33641448326017,110,10,0.4,0.7
deff,185.0811954299928,65,10,0.4,0.7
att,275.2490376392351,67,10,0.4,0.8
neu,185.44946639194717,110,10,0.4,0.8
deff,179.48074013862498,65,10,0.4,0.8
att,271.3076020126352,67,10,0.4,0.9
neu,178.67470210657243,110,10,0.4,0.9
deff,174.04283026380577,65,10,0.4,0.9
att,331.9898794191346,61,10,0.5,0.1
neu,241.26619862031967,112,10,0.5,0.1
deff,232.1509192020412,76,10,0.5,0.1
att,329.1334949157707,61,10,0.5,0.2
neu,217.136962033177,112,10,0.5,0.2
deff,222.56534991435797,76,10,0.5,0.2
att,328.42985783109805,61,10,0.5,0.3
neu,201.2510127469075,112,10,0.5,0.3
deff,214.04024044141858,76,10,0.5,0.3
att,328.7940351306937,61,10,0.5,0.4
neu,189.79582044286687,112,10,0.5,0.4
deff,205.97601505336854,76,10,0.5,0.4
att,329.5484280571947,61,10,0.5,0.5
neu,181.09515284376195,112,10,0.5,0.5
deff,198.4581215210912,76,10,0.5,0.5
att,330.3028575768469,61,10,0.5,0.6
neu,174.33312165126785,112,10,0.5,0.6
deff,191.6017934564598,76,10,0.5,0.6
att,330.98392708025114,61,10,0.5,0.7
neu,169.03113945837046,112,10,0.5,0.7
deff,185.38256449632624,76,10,0.5,0.7
att,331.7086659598332,61,10,0.5,0.8
neu,164.88575746192947,112,10,0.5,0.8
deff,179.75237277526887,76,10,0.5,0.8
att,332.70900530405163,61,10,0.5,0.9
neu,161.68746599740925,112,10,0.5,0.9
deff,174.61658703556037,76,10,0.5,0.9
att,346.573119908429,39,10,0.6,0.1
neu,248.4826238365185,97,10,0.6,0.1
deff,226.79828248472165,100,10,0.6,0.1
att,351.8203893317214,39,10,0.6,0.2
neu,225.53417783508388,97,10,0.6,0.2
deff,214.7053968348503,100,10,0.6,0.2
att,356.2059953157436,39,10,0.6,0.3
neu,209.2144531989102,97,10,0.6,0.3
deff,205.47435268697745,100,10,0.6,0.3
att,360.22864207725524,39,10,0.6,0.4
neu,196.87362688484313,97,10,0.6,0.4
deff,197.69577908201308,100,10,0.6,0.4
att,364.148526690291,39,10,0.6,0.5
neu,187.14579025020637,97,10,0.6,0.5
deff,191.0408921913145,100,10,0.6,0.5
att,368.249286588765,39,10,0.6,0.6
neu,179.3337137710579,97,10,0.6,0.6
deff,185.30415532331497,100,10,0.6,0.6
att,372.66561312284523,39,10,0.6,0.7
neu,173.1065052505489,97,10,0.6,0.7
deff,180.25869449434427,100,10,0.6,0.7
att,377.61577990798986,39,10,0.6,0.8
neu,168.26822153367993,97,10,0.6,0.8
deff,175.65364085197456,100,10,0.6,0.8
att,383.2451924317351,39,10,0.6,0.9
neu,164.72622641429996,97,10,0.6,0.9
